model,avg_daily_reward,avg_daily_unmet,avg_daily_served,avg_daily_moved_bikes,avg_daily_move_actions
Do Nothing,-7.428571428571429,7.428571428571429,44.5,0.0,0.0
Threshold Baseline,-6.810714285714286,6.5,45.42857142857143,14.892857142857142,3.107142857142857
SARSA,-7.253571428571427,5.678571428571429,46.25,83.85714285714286,15.75
Q-learning,-6.003571428571429,4.642857142857143,47.285714285714285,77.25,13.607142857142858
